"ControlId","Title","Description","Family","Notes"
"V-223374","Trusted Locations on the network must be disabled in Project","Network trusted locations in Project could allow remote content to bypass security checks. Disabling them ensures only local trusted content is exempt from verification.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223375","Project must automatically disable unsigned add-ins without informing users","Unsigned add-ins in Project may contain malicious code. Automatically disabling them without notification prevents users from enabling potentially dangerous add-ins.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223376","VBA Macros not digitally signed must be blocked in Project","Unsigned VBA macros in Project may contain malicious code. Blocking them ensures only trusted, signed code can execute within Project files.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223377","VBA Macros not digitally signed must be blocked in PowerPoint","Unsigned VBA macros in PowerPoint presentations may contain malicious code. Blocking them ensures only trusted, signed macros can execute.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223378","The ability to run programs from PowerPoint must be disabled","PowerPoint can be configured to run external programs through action buttons and links. Disabling this prevents PowerPoint from being used as a vector for launching malicious programs.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223379","Open/Save of PowerPoint 97-2003 presentations, shows, templates, and add-in files must be blocked","Legacy PowerPoint formats may contain exploitable vulnerabilities. Blocking these formats prevents exploitation through maliciously crafted legacy presentation files.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223380","The default file block behavior must be set to not open blocked files in PowerPoint","When file block settings prevent opening a file type, the default behavior should prevent opening rather than using Protected View, ensuring blocked formats cannot be accessed.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223381","Encrypted macros in PowerPoint Open XML presentations must be scanned","Encrypted macros could hide malicious code from security scanning. Enabling scanning of encrypted macros ensures comprehensive threat detection in PowerPoint files.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223382","File validation in PowerPoint must be enabled","File validation checks the binary file format structure before opening, detecting potentially malicious files with corrupted or manipulated format structures in PowerPoint.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223383","Macros from the Internet must be blocked from running in PowerPoint","PowerPoint files from the Internet may contain malicious macros. Blocking macro execution in Internet-sourced files prevents potential malware execution.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223384","Unsigned add-ins in PowerPoint must be blocked with no Trust Bar Notification","Unsigned add-ins may contain malicious code. Blocking them without Trust Bar notification prevents users from enabling potentially dangerous add-ins.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223385","Files downloaded from the Internet must be opened in Protected View in PowerPoint","Internet-downloaded files may contain malicious content. Opening them in Protected View provides a sandboxed environment preventing code execution.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223386","PowerPoint attachments opened from Outlook must be in Protected View","Email attachments are a common malware delivery vector. Opening Outlook attachments in Protected View provides sandbox protection against malicious content.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223387","Files in unsafe locations must be opened in Protected View in PowerPoint","Files from unsafe locations should be opened in Protected View to prevent malicious content from executing and compromising the system.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223388","If file validation fails, files must be opened in Protected View in PowerPoint with edit disabled","Files that fail validation may have been tampered with. Opening them in Protected View with editing disabled prevents exploitation of file format vulnerabilities.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223389","The use of network locations must be ignored in PowerPoint","Network trusted locations in PowerPoint could allow remote content to bypass security checks. Ignoring network locations ensures only local content is trusted.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223390","Publisher must prompt when another application programmatically opens a macro","When another application opens a macro in Publisher programmatically, the user should be prompted to ensure they are aware of and consent to the macro execution.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223391","Publisher must automatically disable unsigned add-ins without informing users","Unsigned add-ins in Publisher may contain malicious code. Automatically disabling them prevents potential exploitation without requiring user interaction.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223392","Publisher must disable all unsigned VBA macros","Unsigned VBA macros in Publisher may contain malicious code. Disabling all unsigned macros ensures only verified, signed code can execute.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223393","VBA Macros not digitally signed must be blocked in Visio","Unsigned VBA macros in Visio may contain malicious code. Blocking ensures only trusted, signed macros can execute within Visio files.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223394","Trusted Locations on the network must be disabled in Visio","Network trusted locations in Visio could allow remote content to bypass security checks. Disabling them ensures only local content is exempt from security verification.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223395","Visio must automatically disable unsigned add-ins without informing users","Unsigned add-ins in Visio may contain malicious code. Automatically disabling them prevents users from enabling potentially dangerous add-ins.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223396","Visio 2000-2002 Binary Drawings, Templates and Stencils must be blocked","Legacy Visio 2000-2002 binary formats may contain exploitable vulnerabilities. Blocking these formats prevents exploitation through legacy file format parsing.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223397","Visio 2003-2010 Binary Drawings, Templates and Stencils must be blocked","Legacy Visio 2003-2010 binary formats may contain exploitable vulnerabilities. Blocking these formats reduces the application attack surface.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223398","Visio 5.0 or earlier Binary Drawings, Templates and Stencils must be blocked","Visio 5.0 and earlier binary formats are extremely old and may contain multiple exploitable vulnerabilities. Blocking prevents exploitation of obsolete format parsers.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223399","Macros must be blocked from running in Visio files from the Internet","Visio files from the Internet may contain malicious macros. Blocking macro execution in Internet-sourced files prevents potential malware execution.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223400","Word must automatically disable unsigned add-ins without informing users","Unsigned add-ins in Word may contain malicious code. Automatically disabling them prevents users from enabling potentially dangerous add-ins.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223401","In Word, encrypted macros must be scanned","Encrypted macros in Word documents could hide malicious code from security scanning. Enabling scanning ensures comprehensive threat detection.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223402","Files downloaded from the Internet must be opened in Protected View in Word","Internet-downloaded files may contain malicious content. Opening them in Protected View provides a sandboxed environment preventing code execution.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223403","Files located in unsafe locations must be opened in Protected View in Word","Files from unsafe locations should be opened in Protected View to prevent malicious content from executing and potentially compromising the system.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223404","If file validation fails, files must be opened in Protected View in Word with edit disabled","Files that fail validation checks may have been tampered with. Opening them in Protected View with editing disabled prevents potential exploitation.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223405","Word attachments opened from Outlook must be in Protected View","Email attachments are a common malware delivery vector. Opening Word Outlook attachments in Protected View provides sandbox protection.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223406","The default file block behavior must be set to not open blocked files in Word","When file block settings prevent a file type from opening, the default behavior should prevent the file from opening entirely rather than opening in Protected View.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223407","Open/Save of Word 2 and earlier binary documents and templates must be blocked","Word 2 and earlier binary formats are obsolete and may contain exploitable vulnerabilities in their file parsers. Blocking prevents exploitation.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223408","Open/Save of Word 2000 binary documents and templates must be blocked","Word 2000 binary formats may contain exploitable vulnerabilities. Blocking these legacy formats reduces the attack surface.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223409","Open/Save of Word 2003 binary documents and templates must be blocked","Word 2003 binary formats may contain exploitable vulnerabilities. Blocking prevents exploitation through legacy file format parsing.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223410","Open/Save of Word 2007 and later binary documents and templates must be blocked","Binary document formats can contain exploitable vulnerabilities. Blocking Word 2007+ binary formats encourages use of safer Open XML formats.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223411","Open/Save of Word 6.0 binary documents and templates must be blocked","Word 6.0 binary formats are obsolete and may contain multiple exploitable vulnerabilities. Blocking prevents exploitation of legacy format parsers.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223412","Open/Save of Word 95 binary documents and templates must be blocked","Word 95 binary formats are legacy formats that may harbor exploitable vulnerabilities. Blocking reduces the application attack surface.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223413","Open/Save of Word 97 binary documents and templates must be blocked","Word 97 binary formats may contain exploitable vulnerabilities in their file format parsers. Blocking prevents exploitation through maliciously crafted files.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223414","Open/Save of Word XP binary documents and templates must be blocked","Word XP binary formats may contain exploitable vulnerabilities. Blocking these legacy formats prevents exploitation through file format parsing.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223415","In Word, macros must be blocked from running even if Enable all macros is selected","Even if the macro security setting allows all macros, Internet-sourced macros should still be blocked. This provides defense-in-depth against macro-based malware in Word.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223416","Trusted Locations on the network must be disabled in Word","Network trusted locations in Word could allow remote content to bypass security checks. Disabling ensures only local trusted content is exempt from security verification.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223417","VBA Macros not digitally signed must be blocked in Word","Unsigned VBA macros in Word may contain malicious code. Requiring digital signatures ensures macros come from a trusted source and have not been tampered with.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
"V-223418","File validation in Word must be enabled","File validation checks the binary file format structure before opening, detecting potentially malicious Word files with corrupted or manipulated format structures.","Microsoft Office 365 ProPlus","CAT II - Medium; STIG: Microsoft Office 365 ProPlus V3R5"
